id,source,target,type
e34.00869018071631,n0,n0,arrow
e21.35331390077947,n0,n0,arrow
e32.49875124710685,n0,n0,arrow
e33.17934713883796,n0,n0,arrow
e23.906738374341998,n0,n0,arrow
e13.333340968233237,n0,n0,arrow
e26.611513533263263,n0,n0,arrow
e31.96491776057261,n0,n0,arrow
e34.580589308829566,n0,n0,arrow
e26.07662636959247,n0,n0,arrow
e10.96195182687161,n0,n0,arrow
e5.10912428296619,n0,n0,arrow
e2.2800888120900726,n0,n0,arrow
e10.671389486539537,n0,n0,arrow
e9.730449446549564,n0,n0,arrow
e36.90324599382258,n0,n0,arrow
e8.805266981299457,n0,n0,arrow
e3.196402837756537,n0,n0,arrow
e22.679808925835843,n0,n0,arrow
e3.2205555551010034,n0,n0,arrow
e8.613632191740729,n0,n0,arrow
e29.511655261729988,n0,n0,arrow
e7.156311033511842,n0,n0,arrow
e33.430133011667294,n0,n0,arrow
e23.4862549397545,n0,n0,arrow
e35.13175619499919,n0,n0,arrow
e32.970826805569054,n0,n0,arrow
e3.7958658848101265,n0,n0,arrow
e1.3496484824883974,n0,n0,arrow
e2.0237151096718486,n0,n0,arrow
e10.277345990523152,n0,n0,arrow
e36.047987147100955,n0,n0,arrow
e9.083730622546923,n0,n0,arrow
e23.7770232577172,n0,n0,arrow
e35.65775168351117,n0,n0,arrow
e10.030773227503047,n0,n0,arrow
e32.64737174554438,n0,n0,arrow
e30.686507143357822,n0,n0,arrow
e30.935645368594866,n0,n0,arrow
e18.302473680481278,n0,n0,arrow
e12.808912130673518,n0,n0,arrow
e19.72407411893818,n0,n0,arrow
e36.678300375972505,n0,n0,arrow
e30.124138414481042,n0,n0,arrow
e1.1963083574146465,n0,n0,arrow
e6.299360067385099,n0,n0,arrow
e21.43774782970479,n0,n1,arrow
e24.084115530758332,n0,n0,arrow
e30.239276439787538,n0,n2,arrow
e34.08286776293322,n0,n0,arrow
e17.323709335110593,n0,n0,arrow
e28.503738431321647,n0,n0,arrow
e34.87644240632414,n0,n0,arrow
e3.866931790707012,n0,n0,arrow
e29.544924580081183,n0,n0,arrow
e4.6527265863761444,n0,n0,arrow
e9.474125577401761,n0,n0,arrow
e25.850364553576657,n0,n3,arrow
e33.88264419130183,n0,n0,arrow
e5.794859675022569,n0,n0,arrow
e27.040546452837663,n0,n0,arrow
e1.6419740524391269,n0,n0,arrow
e19.452369563403135,n0,n0,arrow
e11.390372555334439,n0,n0,arrow
e17.168758603662216,n0,n4,arrow
e23.21821947107076,n0,n0,arrow
e8.980778896197602,n0,n0,arrow
